symbol,time_bin,polarity,polarity_3d,polarity_5d
AAPL,2023-06-30,-0.09090909090909091,0.007824151714694152,0.10688882439918683
AAPL,2023-07-01,1.0,0.5039120758573471,0.4045925495994579
AAPL,2023-07-02,0.3333333333333333,0.41862270459534023,0.38083947751074976
AAPL,2023-07-03,-0.2,0.10931135229767011,0.18722631834049988
AAPL,2023-07-04,0.3333333333333333,0.22132234281550173,0.23592865667144436
AAPL,2023-07-05,0.6666666666666666,0.44399450474108415,0.37950799333651847
AAPL,2023-07-06,1.0,0.721997252370542,0.5863386622243456
AAPL,2023-07-07,0.2,0.460998626185271,0.4575591081495638
AAPL,2023-07-08,1.0,0.7304993130926355,0.6383727387663759
AAPL,2023-07-09,1.0,0.8652496565463177,0.758915159177584
AAPL,2023-07-10,0.42857142857142855,0.6469105425588731,0.6488005823088656
AAPL,2023-07-11,-0.5,0.07345527127943657,0.2658670548725771
AAPL,2023-07-12,0.0,0.03672763563971829,0.17724470324838476
AAPL,2023-07-13,0.7142857142857143,0.3755066749627163,0.3562583735941613
AAPL,2023-07-14,1.0,0.6877533374813581,0.5708389157294409
AAPL,2023-07-15,0.0,0.34387666874067907,0.3805592771529606
AAPL,2023-07-16,0.0,0.17193833437033954,0.25370618476864043
AAPL,2023-07-17,-0.6666666666666666,-0.24736416614816353,-0.053084765709795236
AAPL,2023-07-18,-0.3333333333333333,-0.2903487497407484,-0.14650095491764126
AAPL,2023-07-19,0.3333333333333333,0.021492291796292445,0.013443807832683589
AAPL,2023-07-20,0.6,0.3107461458981462,0.20896253855512237
AAPL,2023-07-21,-1.0,-0.3446269270509269,-0.19402497429658505
AAPL,2023-07-22,-1.0,-0.6723134635254635,-0.46268331619772335
AAPL,2023-07-23,1.0,0.16384326823726825,0.024877789201517713
AAPL,2023-07-24,-0.2,-0.018078365881365882,-0.050081473865654855
AAPL,2023-07-25,-0.6,-0.30903918294068294,-0.2333876492437699
AAPL,2023-07-26,0.0,-0.15451959147034147,-0.15559176616251327
AAPL,2023-07-27,1.0,0.4227402042648293,0.22960548922499113
AAPL,2023-07-28,0.0,0.21137010213241464,0.1530703261499941
AAPL,2023-07-29,1.0,0.6056850510662073,0.4353802174333294
AAPL,2023-07-30,0.3333333333333333,0.4695091921997703,0.4013645893999974
AAPL,2023-07-31,0.6666666666666666,0.5680879294332184,0.48979861515555384
AAPL,2023-08-01,-0.25,0.1590439647166092,0.24319907677036925
AAPL,2023-08-02,0.2,0.1795219823583046,0.2287993845135795
AAPL,2023-08-03,0.1111111111111111,0.14531654673470784,0.18956996004609006
AAPL,2023-08-04,0.42857142857142855,0.28694398765306817,0.2692371162212029
AAPL,2023-08-05,0.0,0.14347199382653408,0.17949141081413528
AAPL,2023-08-06,1.0,0.571735996913267,0.4529942738760902
AAPL,2023-08-07,0.2,0.38586799845663355,0.36866284925072684
AAPL,2023-08-08,0.7777777777777778,0.5818228881172056,0.5050344920930772
AAPL,2023-08-09,0.0,0.2909114440586028,0.3366896613953848
AAPL,2023-08-10,-0.3333333333333333,-0.021210944637365253,0.1133486631524788
AAPL,2023-08-11,0.6,0.28939452768131735,0.27556577543498584
AAPL,2023-08-12,0.0,0.14469726384065867,0.18371051695665724
AAPL,2023-08-13,0.3333333333333333,0.239015298586996,0.23358478908221594
AAPL,2023-08-14,0.5,0.369507649293498,0.32238985938814396
AAPL,2023-08-15,1.0,0.684753824646749,0.5482599062587626
AAPL,2023-08-16,0.42857142857142855,0.5566626266090888,0.5083637470296514
AAPL,2023-08-17,0.5,0.5283313133045444,0.5055758313531009
AAPL,2023-08-18,0.2,0.3641656566522722,0.4037172209020673
AAPL,2023-08-19,-1.0,-0.3179171716738639,-0.06418851939862176
AAPL,2023-08-20,1.0,0.34104141416306805,0.29054098706758547
AAPL,2023-08-21,0.6,0.47052070708153404,0.39369399137839034
AAPL,2023-08-22,1.0,0.735260353540767,0.5957959942522603
AAPL,2023-08-23,0.3333333333333333,0.5342968434370502,0.508308440612618
AAPL,2023-08-24,1.0,0.7671484217185252,0.6722056270750787
AAPL,2023-08-25,1.0,0.8835742108592626,0.7814704180500525
AAPL,2023-08-26,-1.0,-0.05821289457036871,0.1876469453667017
AAPL,2023-08-27,1.0,0.47089355271481564,0.4584312969111345
AAPL,2023-08-28,0.3333333333333333,0.4021134430240745,0.41673197571853415
AAPL,2023-08-29,0.3333333333333333,0.36772338817870387,0.3889324282568006
AAPL,2023-08-30,0.4,0.38386169408935195,0.39262161883786706
AAPL,2023-08-31,0.2,0.291930847044676,0.32841441255857806
AAPL,2023-09-01,1.0,0.645965423522338,0.5522762750390521
AAPL,2023-09-02,1.0,0.822982711761169,0.7015175166927015
AAPL,2023-09-03,0.0,0.4114913558805845,0.467678344461801
AAPL,2023-09-04,0.3333333333333333,0.37241234460695893,0.42289667408564513
